Pass_PassID,CaseID,Pass_原文道次,Pass_层号,Pass_层内道号,Pass_焊道功能,Pass_工艺参数库记录ID,Pass_焊接方法,Pass_电流下限_A,Pass_电流上限_A,Pass_推荐_实测电流_A,Pass_电压下限_V,Pass_电压上限_V,Pass_推荐_实测电压_V,Pass_焊速下限_mm_min,Pass_焊速上限_mm_min,Pass_推荐_实测焊速_mm_min,Pass_推荐_实测焊速_cm_min_计算,Pass_送丝速度下限_m_min,Pass_送丝速度上限_m_min,Pass_推荐_实测送丝速度_m_min,Pass_气体流量下限_L_min,Pass_气体流量上限_L_min,Pass_推荐气体流量_L_min,Pass_CTWD下限_mm,Pass_CTWD上限_mm,Pass_推荐CTWD_mm,Pass_热效率η,Pass_热输入_kJ_mm,Pass_热输入来源,Pass_参数性质,Pass_核验状态,Pass_训练准入,Pass_来源说明,Pass_干伸长下限_mm,Pass_干伸长上限_mm,Pass_推荐干伸长_mm,Pass_ExcelRow,Case_案例名称,Case_数据类型,Case_材料牌号,Case_板厚_mm,Case_接头类型,Case_坡口形式,Case_坡口角度_deg,Case_根部间隙_mm,Case_钝边下限_mm,Case_钝边上限_mm,Case_推荐钝边_mm,Case_焊接面数,Case_衬垫类型,Case_焊接位置_原文,Case_焊接方法,Case_ISO4063,Case_焊材牌号,Case_焊丝直径_mm,Case_保护气体,Case_气体流量下限_L_min,Case_气体流量上限_L_min,Case_推荐气体流量_L_min,Case_极性,Case_预热温度_C,Case_层间温度上限_C,Case_总层数,Case_总道数,Case_完整MAG工艺,Case_数据覆盖,Case_核验状态,Case_训练准入,Case_数据可信度,Case_来源名称,Case_来源类型,Case_来源链接,Case_原文定位,Case_备注,Case_坡口角度定义,Case_单边坡口角度_deg,Case_ExcelRow,ObservationID,PassID,PassRole,ContextWeight,RoleBasis,Thickness,RootGap,GrooveAngle,Position,SourceGroup,Approved,Current_SourceValue,Current,Current_Eligible,Current_Reason,Voltage_SourceValue,Voltage,Voltage_Eligible,Voltage_Reason,TravelSpeed_SourceValue,TravelSpeed,TravelSpeed_Eligible,TravelSpeed_Reason,DataClass,ExclusionReason,Material,Process,JointType,InProjectScope,ScopeMissingFields,ScopeMismatchFields,EvidenceLevel_Suggested,EvidenceLevel_Basis,EvidenceLevel_Manual,EvidenceReviewStatus,SourceID,Source,Eligible_Current,EligibilityReason_Current,Eligible_Voltage,EligibilityReason_Voltage,Eligible_TravelSpeed,EligibilityReason_TravelSpeed
P12PA-01,AH36-12-PA-001,1,1.0,1.0,打底,,MAG 136,160.0,180.0,18.0,23.0,25.0,24.0,120.0,150.0,130.0,13.0,4.5,5.5,5.0,20.0,25.0,22.0,10.0,13.0,11.5,,,,候选范围+首轮起点,已核对用户截图,待审核,用户截图原始单位焊速为cm/min，数据库统一换算为mm/min；CTWD推荐值取截图建议区间中点。,,,,2,12mm平焊首轮试板候选方案,工程候选Case,AH36,12,对接,单V,40.0,8.0,,,,1.0,陶瓷衬垫,PA / AWS 1G,MAG（药芯焊丝，CO₂）,136.0,T492T1-1C1A / AWS E71T-1C,1.2,100% CO₂,20.0,25.0,22.0,DCEP,,,4.0,5.0,是,完整候选逐道方案,已核对用户截图,待审核,中,用户提供的12 mm首轮试板候选方案,用户提供图片/工程候选方案,,用户截图：数据库定义、4层5道逐道参数、保护气体与CTWD,与项目目标工况高度匹配；数值属于首轮工程起点，尚未经过试板结果验证。,总夹角,20.0,2,P12PA-01,P12PA-01,Root,1.0,Source role,12.0,8.0,40.0,PA,用户提供的12 mm首轮试板候选方案,False,18.0,,False,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook; Formula-based target excluded",24.0,24.0,False,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook",130.0,130.0,False,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook",Auxiliary,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook",AH36,MAG 136,Single-V Butt Joint,True,,,B,Traceable engineering or WPS setting; human review remains open,,Pending,SRC-012,用户提供的12 mm首轮试板候选方案,False,Formula-based target excluded,True,,True,
P12PA-02,AH36-12-PA-001,2,2.0,1.0,填充,,MAG 136,185.0,205.0,195.0,24.0,26.0,25.0,150.0,180.0,160.0,16.0,5.8,6.6,6.2,20.0,25.0,22.0,12.0,16.0,14.0,,,,候选范围+首轮起点,已核对用户截图,待审核,用户截图逐道候选参数；CTWD推荐13~15 mm，以14 mm记录为数据库单值。,,,,3,12mm平焊首轮试板候选方案,工程候选Case,AH36,12,对接,单V,40.0,8.0,,,,1.0,陶瓷衬垫,PA / AWS 1G,MAG（药芯焊丝，CO₂）,136.0,T492T1-1C1A / AWS E71T-1C,1.2,100% CO₂,20.0,25.0,22.0,DCEP,,,4.0,5.0,是,完整候选逐道方案,已核对用户截图,待审核,中,用户提供的12 mm首轮试板候选方案,用户提供图片/工程候选方案,,用户截图：数据库定义、4层5道逐道参数、保护气体与CTWD,与项目目标工况高度匹配；数值属于首轮工程起点，尚未经过试板结果验证。,总夹角,20.0,2,P12PA-02,P12PA-02,Fill,1.0,Source role,12.0,8.0,40.0,PA,用户提供的12 mm首轮试板候选方案,False,195.0,,False,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook; Formula-based target excluded",25.0,25.0,False,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook",160.0,160.0,False,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook",Auxiliary,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook",AH36,MAG 136,Single-V Butt Joint,True,,,B,Traceable engineering or WPS setting; human review remains open,,Pending,SRC-012,用户提供的12 mm首轮试板候选方案,False,Formula-based target excluded,True,,True,
P12PA-03,AH36-12-PA-001,3,3.0,1.0,填充,,MAG 136,205.0,220.0,210.0,25.0,27.0,26.0,170.0,200.0,180.0,18.0,6.6,8.0,6.8,20.0,25.0,22.0,12.0,16.0,14.0,,,,候选范围+首轮起点,已核对用户截图,待审核,用户截图逐道候选参数；CTWD推荐13~15 mm，以14 mm记录为数据库单值。,,,,4,12mm平焊首轮试板候选方案,工程候选Case,AH36,12,对接,单V,40.0,8.0,,,,1.0,陶瓷衬垫,PA / AWS 1G,MAG（药芯焊丝，CO₂）,136.0,T492T1-1C1A / AWS E71T-1C,1.2,100% CO₂,20.0,25.0,22.0,DCEP,,,4.0,5.0,是,完整候选逐道方案,已核对用户截图,待审核,中,用户提供的12 mm首轮试板候选方案,用户提供图片/工程候选方案,,用户截图：数据库定义、4层5道逐道参数、保护气体与CTWD,与项目目标工况高度匹配；数值属于首轮工程起点，尚未经过试板结果验证。,总夹角,20.0,2,P12PA-03,P12PA-03,Fill,1.0,Source role,12.0,8.0,40.0,PA,用户提供的12 mm首轮试板候选方案,False,210.0,,False,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook; Formula-based target excluded",26.0,26.0,False,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook",180.0,180.0,False,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook",Auxiliary,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook",AH36,MAG 136,Single-V Butt Joint,True,,,B,Traceable engineering or WPS setting; human review remains open,,Pending,SRC-012,用户提供的12 mm首轮试板候选方案,False,Formula-based target excluded,True,,True,
P12PA-04,AH36-12-PA-001,4,4.0,1.0,左侧盖面,,MAG 136,175.0,195.0,180.0,24.0,25.5,24.5,180.0,220.0,200.0,20.0,5.3,6.2,5.6,20.0,25.0,22.0,12.0,15.0,13.0,,,,候选范围+首轮起点,已核对用户截图,待审核,用户截图逐道候选参数。,,,,5,12mm平焊首轮试板候选方案,工程候选Case,AH36,12,对接,单V,40.0,8.0,,,,1.0,陶瓷衬垫,PA / AWS 1G,MAG（药芯焊丝，CO₂）,136.0,T492T1-1C1A / AWS E71T-1C,1.2,100% CO₂,20.0,25.0,22.0,DCEP,,,4.0,5.0,是,完整候选逐道方案,已核对用户截图,待审核,中,用户提供的12 mm首轮试板候选方案,用户提供图片/工程候选方案,,用户截图：数据库定义、4层5道逐道参数、保护气体与CTWD,与项目目标工况高度匹配；数值属于首轮工程起点，尚未经过试板结果验证。,总夹角,20.0,2,P12PA-04,P12PA-04,Cap,1.0,Source role,12.0,8.0,40.0,PA,用户提供的12 mm首轮试板候选方案,False,180.0,,False,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook; Formula-based target excluded",24.5,24.5,False,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook",200.0,200.0,False,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook",Auxiliary,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook",AH36,MAG 136,Single-V Butt Joint,True,,,B,Traceable engineering or WPS setting; human review remains open,,Pending,SRC-012,用户提供的12 mm首轮试板候选方案,False,Formula-based target excluded,True,,True,
P12PA-05,AH36-12-PA-001,5,4.0,2.0,右侧盖面,,MAG 136,175.0,195.0,180.0,24.0,25.5,24.5,180.0,220.0,200.0,20.0,5.3,6.2,5.6,20.0,25.0,22.0,12.0,15.0,13.0,,,,候选范围+首轮起点,已核对用户截图,待审核,用户截图逐道候选参数。,,,,6,12mm平焊首轮试板候选方案,工程候选Case,AH36,12,对接,单V,40.0,8.0,,,,1.0,陶瓷衬垫,PA / AWS 1G,MAG（药芯焊丝，CO₂）,136.0,T492T1-1C1A / AWS E71T-1C,1.2,100% CO₂,20.0,25.0,22.0,DCEP,,,4.0,5.0,是,完整候选逐道方案,已核对用户截图,待审核,中,用户提供的12 mm首轮试板候选方案,用户提供图片/工程候选方案,,用户截图：数据库定义、4层5道逐道参数、保护气体与CTWD,与项目目标工况高度匹配；数值属于首轮工程起点，尚未经过试板结果验证。,总夹角,20.0,2,P12PA-05,P12PA-05,Cap,1.0,Source role,12.0,8.0,40.0,PA,用户提供的12 mm首轮试板候选方案,False,180.0,,False,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook; Formula-based target excluded",24.5,24.5,False,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook",200.0,200.0,False,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook",Auxiliary,"Engineering starting values, not experiments; Not an eligible experimental point; Source not verified in workbook",AH36,MAG 136,Single-V Butt Joint,True,,,B,Traceable engineering or WPS setting; human review remains open,,Pending,SRC-012,用户提供的12 mm首轮试板候选方案,False,Formula-based target excluded,True,,True,
P12VU-01,AH36-12-VU-001,1,,,打底,,MAG 136,140.0,150.0,,21.0,22.0,,,,,,,,,15.0,18.0,,,,,,,,文献实验范围,已核验原文,待审核,"MDPI Section 2.2：root parameters 140–150 A, 21–22 V。",,,,7,12mm立向上焊同行评议文献Case,实验文献Case,AH36,12,对接,单V,,,,,,,,Vertical up,MAG（药芯焊丝）,136.0,AWS A5.20 E71T-1C,1.2,100% CO₂,15.0,18.0,,,,,,4.0,是,根部参数+后三道完成参数范围,已核验原文,待审核,高,Long-Term Marine Environment Exposure Effect on Butt-Welded Shipbuilding Steel,同行评议论文,https://www.mdpi.com/2077-1312/9/5/491,Section 2.2 Specimen Preparation and Marine Environment Exposure,12 mm、AH36、single V、136、E71T-1C、100% CO₂、4 passes均由原文支持；焊接位置与当前PA/1G候选方案不同。,原文仅写single V，角度未给,,3,P12VU-01,P12VU-01,Root,1.0,Source role,12.0,,,PF,https://www.mdpi.com/2077-1312/9/5/491,False,,,False,"Missing or ambiguous input: GrooveAngle,RootGap; Not an eligible experimental point; Formula-based target excluded; Missing target",,,False,"Missing or ambiguous input: GrooveAngle,RootGap; Not an eligible experimental point; Missing target",,,False,"Missing or ambiguous input: GrooveAngle,RootGap; Not an eligible experimental point; Missing target",Constraint,"Missing or ambiguous input: GrooveAngle,RootGap; Not an eligible experimental point",AH36,MAG 136,Single-V Butt Joint,False,"GrooveAngle, RootGap",Position,E,Known project identity or geometry is incompatible with V0.2 scope,,Pending,SRC-006,Long-Term Marine Environment Exposure Effect on Butt-Welded Shipbuilding Steel,False,"Missing project scope fields: GrooveAngle,RootGap; Outside project scope: Position; EvidenceLevel E is not eligible for supervised training; Missing or invalid target; Formula-based target excluded",False,"Missing project scope fields: GrooveAngle,RootGap; Outside project scope: Position; EvidenceLevel E is not eligible for supervised training; Missing or invalid target",False,"Missing project scope fields: GrooveAngle,RootGap; Outside project scope: Position; EvidenceLevel E is not eligible for supervised training; Missing or invalid target"
P12VU-02-04,AH36-12-VU-001,2-4,,,完成焊道（后三道共用范围）,,MAG 136,190.0,200.0,,24.0,25.0,,,,,,,,,15.0,18.0,,,,,,,,文献实验范围,已核验原文,待审核,"MDPI Section 2.2：finish parameters 190–200 A, 24–25 V；原文共4 passes，未逐道拆分后三道。",,,,8,12mm立向上焊同行评议文献Case,实验文献Case,AH36,12,对接,单V,,,,,,,,Vertical up,MAG（药芯焊丝）,136.0,AWS A5.20 E71T-1C,1.2,100% CO₂,15.0,18.0,,,,,,4.0,是,根部参数+后三道完成参数范围,已核验原文,待审核,高,Long-Term Marine Environment Exposure Effect on Butt-Welded Shipbuilding Steel,同行评议论文,https://www.mdpi.com/2077-1312/9/5/491,Section 2.2 Specimen Preparation and Marine Environment Exposure,12 mm、AH36、single V、136、E71T-1C、100% CO₂、4 passes均由原文支持；焊接位置与当前PA/1G候选方案不同。,原文仅写single V，角度未给,,3,P12VU-02-04,P12VU-02-04,,1.0,Source role,12.0,,,PF,https://www.mdpi.com/2077-1312/9/5/491,False,,,False,"Missing or ambiguous input: GrooveAngle,RootGap,PassRole; Not an eligible experimental point; Formula-based target excluded; Missing target",,,False,"Missing or ambiguous input: GrooveAngle,RootGap,PassRole; Not an eligible experimental point; Missing target",,,False,"Missing or ambiguous input: GrooveAngle,RootGap,PassRole; Not an eligible experimental point; Missing target",Constraint,"Missing or ambiguous input: GrooveAngle,RootGap,PassRole; Not an eligible experimental point",AH36,MAG 136,Single-V Butt Joint,False,"GrooveAngle, RootGap",Position,E,Known project identity or geometry is incompatible with V0.2 scope,,Pending,SRC-006,Long-Term Marine Environment Exposure Effect on Butt-Welded Shipbuilding Steel,False,"Missing project scope fields: GrooveAngle,RootGap; Outside project scope: Position; Missing or ambiguous PassRole; EvidenceLevel E is not eligible for supervised training; Missing or invalid target; Formula-based target excluded",False,"Missing project scope fields: GrooveAngle,RootGap; Outside project scope: Position; Missing or ambiguous PassRole; EvidenceLevel E is not eligible for supervised training; Missing or invalid target",False,"Missing project scope fields: GrooveAngle,RootGap; Outside project scope: Position; Missing or ambiguous PassRole; EvidenceLevel E is not eligible for supervised training; Missing or invalid target"
P18-01,AH36-18-3G-001,1,,,,,MAG 136（源PQR术语FCAW）,,,145.0,,,24.0,,,138.0,13.8,,,,18.0,18.0,18.0,15.0,25.0,,,1.51,原PQR表,PQR实测参数,已核验公开PQR文本,待审核,PQR-02 Rev.00：Pass 1；CTWD 15~25 mm；shielding gas flow 18 L/min。,,,,9,18mm 3G PQR候选Case,PQR公开样例,AH36,18,对接,单V,35.0,6.0,0.0,1.0,,,陶瓷衬垫,3G Uphill,MAG（药芯焊丝；源PQR术语FCAW）,136.0,AWS A5.36 E71T1-C1A0-CS1 / Hyundai SF-71,1.2,C1/CO₂（组成栏建议继续复核）,18.0,18.0,18.0,DCEP,,,5.0,8.0,是,8道完整参数表,已核验公开PQR文本,待审核,中,"PQR-02 Rev.00, AWS D1.1–2020",公开PQR文档（Scribd）,https://www.scribd.com/document/557127516/WPS-AWS-D1-1-template,PQR-02 Rev.00；Joint Details；Welding Parameters,坡口35°、根开口6 mm、钝边0~1 mm、陶瓷衬垫、DCEP、CTWD 15~25 mm、8道参数可在公开文本中核对；来源并非认证机构官网，训练前仍建议复核原始PQR。,按PQR原文保留35°，角度定义需继续复核,,4,P18-01,P18-01,,1.0,Source role,18.0,6.0,,PF,https://www.scribd.com/document/557127516/WPS-AWS-D1-1-template,False,145.0,,False,"Missing or ambiguous input: GrooveAngle,PassRole; Formula-based target excluded",24.0,24.0,False,"Missing or ambiguous input: GrooveAngle,PassRole",138.0,138.0,False,"Missing or ambiguous input: GrooveAngle,PassRole",Auxiliary,"Missing or ambiguous input: GrooveAngle,PassRole",AH36,MAG 136,Single-V Butt Joint,False,GrooveAngle,Position,E,Known project identity or geometry is incompatible with V0.2 scope,,Pending,SRC-010,"PQR-02 Rev.00, AWS D1.1–2020",False,Missing project scope fields: GrooveAngle; Outside project scope: Position; Missing or ambiguous PassRole; EvidenceLevel E is not eligible for supervised training; Formula-based target excluded,False,Missing project scope fields: GrooveAngle; Outside project scope: Position; Missing or ambiguous PassRole; EvidenceLevel E is not eligible for supervised training,False,Missing project scope fields: GrooveAngle; Outside project scope: Position; Missing or ambiguous PassRole; EvidenceLevel E is not eligible for supervised training
P18-02,AH36-18-3G-001,2,,,,,MAG 136（源PQR术语FCAW）,,,150.0,,,24.0,,,138.0,13.8,,,,18.0,18.0,18.0,15.0,25.0,,,1.57,原PQR表,PQR实测参数,已核验公开PQR文本,待审核,PQR-02 Rev.00：Pass 2。,,,,10,18mm 3G PQR候选Case,PQR公开样例,AH36,18,对接,单V,35.0,6.0,0.0,1.0,,,陶瓷衬垫,3G Uphill,MAG（药芯焊丝；源PQR术语FCAW）,136.0,AWS A5.36 E71T1-C1A0-CS1 / Hyundai SF-71,1.2,C1/CO₂（组成栏建议继续复核）,18.0,18.0,18.0,DCEP,,,5.0,8.0,是,8道完整参数表,已核验公开PQR文本,待审核,中,"PQR-02 Rev.00, AWS D1.1–2020",公开PQR文档（Scribd）,https://www.scribd.com/document/557127516/WPS-AWS-D1-1-template,PQR-02 Rev.00；Joint Details；Welding Parameters,坡口35°、根开口6 mm、钝边0~1 mm、陶瓷衬垫、DCEP、CTWD 15~25 mm、8道参数可在公开文本中核对；来源并非认证机构官网，训练前仍建议复核原始PQR。,按PQR原文保留35°，角度定义需继续复核,,4,P18-02,P18-02,,1.0,Source role,18.0,6.0,,PF,https://www.scribd.com/document/557127516/WPS-AWS-D1-1-template,False,150.0,,False,"Missing or ambiguous input: GrooveAngle,PassRole; Formula-based target excluded",24.0,24.0,False,"Missing or ambiguous input: GrooveAngle,PassRole",138.0,138.0,False,"Missing or ambiguous input: GrooveAngle,PassRole",Auxiliary,"Missing or ambiguous input: GrooveAngle,PassRole",AH36,MAG 136,Single-V Butt Joint,False,GrooveAngle,Position,E,Known project identity or geometry is incompatible with V0.2 scope,,Pending,SRC-010,"PQR-02 Rev.00, AWS D1.1–2020",False,Missing project scope fields: GrooveAngle; Outside project scope: Position; Missing or ambiguous PassRole; EvidenceLevel E is not eligible for supervised training; Formula-based target excluded,False,Missing project scope fields: GrooveAngle; Outside project scope: Position; Missing or ambiguous PassRole; EvidenceLevel E is not eligible for supervised training,False,Missing project scope fields: GrooveAngle; Outside project scope: Position; Missing or ambiguous PassRole; EvidenceLevel E is not eligible for supervised training
P18-03,AH36-18-3G-001,3,,,,,MAG 136（源PQR术语FCAW）,,,153.0,,,24.0,,,125.0,12.5,,,,18.0,18.0,18.0,15.0,25.0,,,1.76,原PQR表,PQR实测参数,已核验公开PQR文本,待审核,PQR-02 Rev.00：Pass 3。,,,,11,18mm 3G PQR候选Case,PQR公开样例,AH36,18,对接,单V,35.0,6.0,0.0,1.0,,,陶瓷衬垫,3G Uphill,MAG（药芯焊丝；源PQR术语FCAW）,136.0,AWS A5.36 E71T1-C1A0-CS1 / Hyundai SF-71,1.2,C1/CO₂（组成栏建议继续复核）,18.0,18.0,18.0,DCEP,,,5.0,8.0,是,8道完整参数表,已核验公开PQR文本,待审核,中,"PQR-02 Rev.00, AWS D1.1–2020",公开PQR文档（Scribd）,https://www.scribd.com/document/557127516/WPS-AWS-D1-1-template,PQR-02 Rev.00；Joint Details；Welding Parameters,坡口35°、根开口6 mm、钝边0~1 mm、陶瓷衬垫、DCEP、CTWD 15~25 mm、8道参数可在公开文本中核对；来源并非认证机构官网，训练前仍建议复核原始PQR。,按PQR原文保留35°，角度定义需继续复核,,4,P18-03,P18-03,,1.0,Source role,18.0,6.0,,PF,https://www.scribd.com/document/557127516/WPS-AWS-D1-1-template,False,153.0,,False,"Missing or ambiguous input: GrooveAngle,PassRole; Formula-based target excluded",24.0,24.0,False,"Missing or ambiguous input: GrooveAngle,PassRole",125.0,125.0,False,"Missing or ambiguous input: GrooveAngle,PassRole",Auxiliary,"Missing or ambiguous input: GrooveAngle,PassRole",AH36,MAG 136,Single-V Butt Joint,False,GrooveAngle,Position,E,Known project identity or geometry is incompatible with V0.2 scope,,Pending,SRC-010,"PQR-02 Rev.00, AWS D1.1–2020",False,Missing project scope fields: GrooveAngle; Outside project scope: Position; Missing or ambiguous PassRole; EvidenceLevel E is not eligible for supervised training; Formula-based target excluded,False,Missing project scope fields: GrooveAngle; Outside project scope: Position; Missing or ambiguous PassRole; EvidenceLevel E is not eligible for supervised training,False,Missing project scope fields: GrooveAngle; Outside project scope: Position; Missing or ambiguous PassRole; EvidenceLevel E is not eligible for supervised training
