Sheet,Cell,RecordID,Issue,Formula,CachedValue,Field
逐道参数,K2,P12PA-01,formula in source,"=IF(J2="""","""",J2/10)",18.0,推荐_实测电流_A
逐道参数,R2,P12PA-01,formula in source,"=IF(Q2="""","""",Q2/10)",13.0,推荐_实测焊速_cm_min_计算
逐道参数,K3,P12PA-02,formula in source,"=IF(J3="""","""",J3/10)",195.0,推荐_实测电流_A
逐道参数,R3,P12PA-02,formula in source,"=IF(Q3="""","""",Q3/10)",16.0,推荐_实测焊速_cm_min_计算
逐道参数,K4,P12PA-03,formula in source,"=IF(J4="""","""",J4/10)",210.0,推荐_实测电流_A
逐道参数,R4,P12PA-03,formula in source,"=IF(Q4="""","""",Q4/10)",18.0,推荐_实测焊速_cm_min_计算
逐道参数,K5,P12PA-04,formula in source,"=IF(J5="""","""",J5/10)",180.0,推荐_实测电流_A
逐道参数,R5,P12PA-04,formula in source,"=IF(Q5="""","""",Q5/10)",20.0,推荐_实测焊速_cm_min_计算
逐道参数,K6,P12PA-05,formula in source,"=IF(J6="""","""",J6/10)",180.0,推荐_实测电流_A
逐道参数,R6,P12PA-05,formula in source,"=IF(Q6="""","""",Q6/10)",20.0,推荐_实测焊速_cm_min_计算
逐道参数,K7,P12VU-01,formula in source,"=IF(J7="""","""",J7/10)",,推荐_实测电流_A
逐道参数,R7,P12VU-01,formula in source,"=IF(Q7="""","""",Q7/10)",,推荐_实测焊速_cm_min_计算
逐道参数,K8,P12VU-02-04,formula in source,"=IF(J8="""","""",J8/10)",,推荐_实测电流_A
逐道参数,R8,P12VU-02-04,formula in source,"=IF(Q8="""","""",Q8/10)",,推荐_实测焊速_cm_min_计算
逐道参数,K9,P18-01,formula in source,"=IF(J9="""","""",J9/10)",145.0,推荐_实测电流_A
逐道参数,R9,P18-01,formula in source,"=IF(Q9="""","""",Q9/10)",13.8,推荐_实测焊速_cm_min_计算
逐道参数,K10,P18-02,formula in source,"=IF(J10="""","""",J10/10)",150.0,推荐_实测电流_A
逐道参数,R10,P18-02,formula in source,"=IF(Q10="""","""",Q10/10)",13.8,推荐_实测焊速_cm_min_计算
逐道参数,K11,P18-03,formula in source,"=IF(J11="""","""",J11/10)",153.0,推荐_实测电流_A
逐道参数,R11,P18-03,formula in source,"=IF(Q11="""","""",Q11/10)",12.5,推荐_实测焊速_cm_min_计算
逐道参数,R12,P18-04,formula in source,"=IF(Q12="""","""",Q12/10)",12.2,推荐_实测焊速_cm_min_计算
逐道参数,R13,P18-05,formula in source,"=IF(Q13="""","""",Q13/10)",14.0,推荐_实测焊速_cm_min_计算
逐道参数,R14,P18-06,formula in source,"=IF(Q14="""","""",Q14/10)",14.0,推荐_实测焊速_cm_min_计算
逐道参数,R15,P18-07,formula in source,"=IF(Q15="""","""",Q15/10)",14.0,推荐_实测焊速_cm_min_计算
逐道参数,R16,P18-08,formula in source,"=IF(Q16="""","""",Q16/10)",15.0,推荐_实测焊速_cm_min_计算
逐道参数,R17,P20-SSAW-ROOT,formula in source,"=IF(Q17="""","""",Q17/10)",21.419999999999998,推荐_实测焊速_cm_min_计算
逐道参数,AC17,P20-SSAW-ROOT,formula in source,"=IF(OR(AB17="""",K17="""",N17="""",Q17=""""),"""",0.06*AB17*K17*N17/Q17)",0.8470588235294118,热输入_kJ_mm
逐道参数,R18,P20-TSAW-ROOT,formula in source,"=IF(Q18="""","""",Q18/10)",20.52,推荐_实测焊速_cm_min_计算
逐道参数,AC18,P20-TSAW-ROOT,formula in source,"=IF(OR(AB18="""",K18="""",N18="""",Q18=""""),"""",0.06*AB18*K18*N18/Q18)",0.8842105263157896,热输入_kJ_mm
逐道参数,R19,P10-S1,formula in source,"=IF(Q19="""","""",Q19/10)",13.7,推荐_实测焊速_cm_min_计算
逐道参数,R20,P16-45D-ROOT,formula in source,"=IF(Q20="""","""",Q20/10)",,推荐_实测焊速_cm_min_计算
逐道参数,R21,P16-45D-FILL,formula in source,"=IF(Q21="""","""",Q21/10)",,推荐_实测焊速_cm_min_计算
逐道参数,R22,P16-45D-CAP,formula in source,"=IF(Q22="""","""",Q22/10)",,推荐_实测焊速_cm_min_计算
逐道参数,R23,P14UT-01,formula in source,"=IF(Q23="""","""",Q23/10)",15.0,推荐_实测焊速_cm_min_计算
逐道参数,R24,P14UT-02,formula in source,"=IF(Q24="""","""",Q24/10)",,推荐_实测焊速_cm_min_计算
逐道参数,R25,P16HYB-TACK,formula in source,"=IF(Q25="""","""",Q25/10)",,推荐_实测焊速_cm_min_计算
逐道参数,R26,P10CN-R1,formula in source,"=IF(Q26="""","""",Q26/10)",12.858,推荐_实测焊速_cm_min_计算
逐道参数,R27,P10CN-R2,formula in source,"=IF(Q27="""","""",Q27/10)",20.928,推荐_实测焊速_cm_min_计算
逐道参数,R28,P10CN-R3,formula in source,"=IF(Q28="""","""",Q28/10)",30.0,推荐_实测焊速_cm_min_计算
逐道参数,R29,P14CN-ALL,formula in source,"=IF(Q29="""","""",Q29/10)",,推荐_实测焊速_cm_min_计算
逐道参数,,P12PA-01,Current outside own bounds,,18.0,
