记录ID,原始焊接方法,母材范围,板厚下限_mm,板厚上限_mm,焊接材料,规格直径_mm,焊接位置,焊层/电极,电流下限_A,电流上限_A,电压下限_V,电压上限_V,焊接速度下限_cm_min,焊接速度上限_cm_min,送丝速度下限_m_min,送丝速度上限_m_min,保护气体流量下限_L_min,保护气体流量上限_L_min,接头适用,数据类型,数据可信度,核验状态,来源名称,来源类型,来源链接,模型用途,备注,标准焊接方法,ISO4063,ExcelRow
WELD-001,CO₂气体保护焊,A～DH36,3.0,24.0,T492T1-1C1A,1.2,立焊,打底,150,200,20.0,28.0,6.0,11.0,,,,,对接、角接通用,宽范围工艺约束,中,已核对用户原文件,《工艺资料.docx》,用户提供资料,,Constraint,适合作为工艺窗口/合理性检查，不直接作为“板厚→逐道参数”的监督训练样本,MAG（药芯焊丝/CO₂）,136,2
WELD-002,CO₂气体保护焊,A～DH36,3.0,24.0,T492T1-1C1A,1.2,立焊,填充,170,220,21.0,30.0,16.0,28.0,,,,,对接、角接通用,宽范围工艺约束,中,已核对用户原文件,《工艺资料.docx》,用户提供资料,,Constraint,适合作为工艺窗口/合理性检查，不直接作为“板厚→逐道参数”的监督训练样本,MAG（药芯焊丝/CO₂）,136,3
WELD-003,CO₂气体保护焊,A～DH36,3.0,24.0,T492T1-1C1A,1.2,立焊,盖面,170,220,21.0,30.0,10.0,18.0,,,,,对接、角接通用,宽范围工艺约束,中,已核对用户原文件,《工艺资料.docx》,用户提供资料,,Constraint,适合作为工艺窗口/合理性检查，不直接作为“板厚→逐道参数”的监督训练样本,MAG（药芯焊丝/CO₂）,136,4
WELD-004,CO₂气体保护焊,A～DH36,3.0,24.0,T492T1-1C1A,1.2,平焊、横焊、仰焊,打底,160,210,21.0,30.0,9.0,16.0,,,,,对接、角接通用,宽范围工艺约束,中,已核对用户原文件,《工艺资料.docx》,用户提供资料,,Constraint,适合作为工艺窗口/合理性检查，不直接作为“板厚→逐道参数”的监督训练样本,MAG（药芯焊丝/CO₂）,136,5
WELD-005,CO₂气体保护焊,A～DH36,3.0,24.0,T492T1-1C1A,1.2,平焊、横焊、仰焊,填充,190,240,20.0,29.0,21.0,63.0,,,,,对接、角接通用,宽范围工艺约束,中,已核对用户原文件,《工艺资料.docx》,用户提供资料,,Constraint,适合作为工艺窗口/合理性检查，不直接作为“板厚→逐道参数”的监督训练样本,MAG（药芯焊丝/CO₂）,136,6
WELD-006,CO₂气体保护焊,A～DH36,3.0,24.0,T492T1-1C1A,1.2,平焊、横焊、仰焊,盖面,190,240,20.0,29.0,27.0,56.0,,,,,对接、角接通用,宽范围工艺约束,中,已核对用户原文件,《工艺资料.docx》,用户提供资料,,Constraint,适合作为工艺窗口/合理性检查，不直接作为“板厚→逐道参数”的监督训练样本,MAG（药芯焊丝/CO₂）,136,7
WELD-007,CO₂气体保护焊,A～EH36,10.0,40.0,T492T1-1C1A,1.2,立焊,打底,130,170,22.0,25.0,6.0,11.0,,,,,对接、角接通用,宽范围工艺约束,中,已核对用户原文件,《工艺资料.docx》,用户提供资料,,Constraint,适合作为工艺窗口/合理性检查，不直接作为“板厚→逐道参数”的监督训练样本,MAG（药芯焊丝/CO₂）,136,8
WELD-008,CO₂气体保护焊,A～EH36,10.0,40.0,T492T1-1C1A,1.2,立焊,填充,160,220,22.0,26.0,10.0,15.0,,,,,对接、角接通用,宽范围工艺约束,中,已核对用户原文件,《工艺资料.docx》,用户提供资料,,Constraint,适合作为工艺窗口/合理性检查，不直接作为“板厚→逐道参数”的监督训练样本,MAG（药芯焊丝/CO₂）,136,9
WELD-009,CO₂气体保护焊,A～EH36,10.0,40.0,T492T1-1C1A,1.2,立焊,盖面,160,210,22.0,26.0,8.0,15.0,,,,,对接、角接通用,宽范围工艺约束,中,已核对用户原文件,《工艺资料.docx》,用户提供资料,,Constraint,适合作为工艺窗口/合理性检查，不直接作为“板厚→逐道参数”的监督训练样本,MAG（药芯焊丝/CO₂）,136,10
WELD-010,CO₂气体保护焊,A～EH36,10.0,40.0,T492T1-1C1A,1.2,平焊、横焊、仰焊,打底,150,180,21.0,25.0,11.0,13.0,,,,,对接、角接通用,宽范围工艺约束,中,已核对用户原文件,《工艺资料.docx》,用户提供资料,,Constraint,适合作为工艺窗口/合理性检查，不直接作为“板厚→逐道参数”的监督训练样本,MAG（药芯焊丝/CO₂）,136,11
